site,sensor,depth_cm,zone,lag_hayne_hr,lag_disc_hr,rmse_hayne_unshift_K,rmse_hayne_shift_K,rmse_disc_unshift_K,rmse_disc_shift_K
A15,TR22B,87.000,validation,-5.533898,-5.500000,2.444413,2.444362,1.351339,1.351488
A15,TG11B,84.000,validation,-4.200565,-4.166667,0.091385,0.091737,1.009094,1.009010
A15,TR12A,101.000,validation,2.466102,2.500000,0.666530,0.666495,0.568102,0.567840
A15,TR11B,73.000,diurnal-zone,-9.200565,0.562147,0.101521,0.100974,1.019887,1.019801
A15,TR22A,59.000,diurnal-zone,7.313559,0.466102,2.496785,2.495706,1.592228,1.592260
A15,TG11A,35.000,diurnal-zone,-3.968927,-7.155367,2.587154,2.463677,3.372940,3.035298
A17,TG11A,130.000,validation,8.166667,8.166667,0.882699,0.882747,1.211507,1.211425
A17,TR11A,140.000,validation,7.833333,7.833333,2.069241,2.069604,0.146461,0.145694
A17,TR12A,195.000,validation,7.833333,7.833333,3.038636,3.038876,0.478823,0.479087
A17,TC12,14.000,diurnal-zone,9.437853,9.709040,24.440841,13.278480,23.153520,15.246544
A17,TC22,15.000,diurnal-zone,7.183616,7.353107,18.163891,8.961046,16.947367,10.396679
A17,TC23,67.000,diurnal-zone,-7.166667,0.629944,1.248413,1.248623,2.744828,2.744981
