site,sensor,probe,stype,depth_cm,zone,lag_hayne_hr,lag_disc_hr,abs_lag_hayne_hr,abs_lag_disc_hr,rmse_hayne_shifted_K,rmse_disc_shifted_K,corr_hayne_shifted,corr_disc_shifted,n_bins_used_h,n_bins_used_d
A15,TG11A,1,TG,35.000,diurnal-zone,-3.968927,-7.155367,3.968927,7.155367,2.764918,3.450170,-0.620000,-0.725533,72,72
A15,TR11A,1,TR,45.000,diurnal-zone,1.059322,-2.500000,1.059322,2.500000,1.138913,1.938959,0.914770,-0.162131,62,62
A15,TG22A,2,TG,49.000,diurnal-zone,0.228814,-4.991525,0.228814,4.991525,2.305811,1.522184,0.884454,-0.596098,72,72
A15,TR22A,2,TR,59.000,diurnal-zone,7.313559,0.466102,7.313559,0.466102,2.497012,1.592281,-0.796580,0.899729,62,62
A15,TR11B,1,TR,73.000,diurnal-zone,-9.200565,0.562147,9.200565,0.562147,0.100938,1.019985,0.075608,-0.058966,62,62
A15,TG11B,1,TG,84.000,validation,-4.200565,-4.166667,4.200565,4.166667,0.090818,1.009062,0.414660,-0.196713,72,72
A15,TR22B,2,TR,87.000,validation,-5.533898,-5.500000,5.533898,5.500000,2.444434,1.351353,0.068054,0.040415,62,62
A15,TG12A,1,TG,91.000,validation,-1.200565,-1.166667,1.200565,1.166667,0.306939,0.846796,-0.317431,0.334217,72,72
A15,TG22B,2,TG,97.000,validation,-1.867232,-1.833333,1.867232,1.833333,2.304482,1.151338,-0.547748,0.542481,72,72
A15,TR12A,1,TR,101.000,validation,2.466102,2.500000,2.466102,2.500000,0.666446,0.568027,0.143993,-0.145203,64,64
A15,TR12B,1,TR,129.000,validation,2.466102,2.500000,2.466102,2.500000,1.258772,0.258494,0.155713,-0.155712,64,64
A15,TG12B,1,TG,139.000,validation,-0.867232,-0.833333,0.867232,0.833333,1.320113,0.306791,-0.171834,0.174311,72,72
A17,TC12,1,TC,14.000,diurnal-zone,9.437853,9.709040,9.437853,9.709040,21.311572,20.073301,-0.064640,0.056074,72,72
A17,TC22,2,TC,15.000,diurnal-zone,7.183616,7.353107,7.183616,7.353107,16.994484,15.778395,-0.425171,-0.364413,72,72
A17,TC13,1,TC,66.000,diurnal-zone,6.567797,0.330508,6.567797,0.330508,1.580429,3.023889,-0.578048,0.603163,72,72
A17,TC23,2,TC,67.000,diurnal-zone,-7.166667,0.629944,7.166667,0.629944,1.248659,2.744681,-0.204739,0.642123,72,72
A17,TG11A,1,TG,130.000,validation,8.166667,8.166667,8.166667,8.166667,0.882743,1.211421,0.310335,0.311212,72,72
A17,TG21A,2,TG,131.000,validation,0.166667,0.166667,0.166667,0.166667,0.754251,1.339910,-0.173949,-0.175419,72,72
A17,TR11A,1,TR,140.000,validation,7.833333,7.833333,7.833333,7.833333,2.069808,0.145764,0.050275,0.050361,30,30
A17,TR21A,2,TR,140.000,validation,0.833333,0.833333,0.833333,0.833333,1.442196,0.740700,-0.096617,-0.096879,31,31
A17,TR11B,1,TR,167.000,validation,0.833333,0.833333,0.833333,0.833333,2.534587,0.178470,-0.081870,-0.081883,30,30
A17,TR21B,2,TR,169.000,validation,0.833333,0.833333,0.833333,0.833333,1.993215,0.372752,-0.000738,-0.000770,31,31
A17,TG11B,1,TG,177.000,validation,0.166667,0.166667,0.166667,0.166667,2.174839,0.286675,-0.209724,-0.209682,72,72
A17,TG21B,2,TG,178.000,validation,0.166667,0.166667,0.166667,0.166667,2.018453,0.442956,-0.197361,-0.197287,72,72
A17,TG12A,1,TG,185.000,validation,1.166667,1.166667,1.166667,1.166667,3.129210,0.568949,-0.434104,-0.433888,72,72
A17,TG22A,2,TG,186.000,validation,0.833333,0.833333,0.833333,0.833333,2.614299,0.054741,-0.205704,-0.205479,72,72
A17,TR12A,1,TR,195.000,validation,7.833333,7.833333,7.833333,7.833333,3.039244,0.479586,0.028809,0.028769,28,28
A17,TR22A,2,TR,196.000,validation,0.833333,0.833333,0.833333,0.833333,2.590124,0.033364,0.013798,0.013931,30,30
A17,TR12B,1,TR,223.000,validation,0.833333,0.833333,0.833333,0.833333,3.619464,0.848271,-0.168541,-0.168382,28,28
A17,TR22B,2,TR,224.000,validation,0.833333,0.833333,0.833333,0.833333,3.257332,0.486162,0.103600,0.104120,30,30
A17,TG12B,1,TG,233.000,validation,1.166667,1.166667,1.166667,1.166667,3.979975,1.094395,-0.384453,-0.383805,72,72
A17,TG22B,2,TG,234.000,validation,0.833333,0.833333,0.833333,0.833333,3.617345,0.731784,-0.115129,-0.114162,72,72
